LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
llama4-maverick,Llama 4 Maverick,3,3,,Environmental,0.02756892230576441
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Supernatural,0.05583756345177665
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Supernatural,0.06043956043956044
o3-pro-medium,o3-pro (medium reasoning),1,1,,Supernatural,0.11055276381909548
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Supernatural,0.07518796992481203
glm-4-5,GLM-4.5,14,14,,Supernatural,0.0906801007556675
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Supernatural,0.1075
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Supernatural,0.0875
mistral-medium-2508,Mistral Medium 3.1,5,5,,Supernatural,0.12280701754385964
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Supernatural,0.09022556390977443
grok-4-0709,Grok 4,9,9,,Supernatural,0.09273182957393483
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Supernatural,0.08333333333333333
gpt-oss-120b,GPT-OSS-120B,1,1,,Supernatural,0.07788944723618091
kimi-k2,Kimi K2,16,16,,Supernatural,0.07769423558897243
command-a,Cohere Command A,13,13,,Supernatural,0.0925
llama4-maverick,Llama 4 Maverick,3,3,,Supernatural,0.042606516290726815
