LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Duo,0.1625
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Duo,0.1875
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Duo,0.2475
glm-4-5,GLM-4.5,14,14,,Duo,0.165
glm-4-6,GLM-4.6,14,14,,Duo,0.1475
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Duo,0.31
gpt-5-pro,GPT-5 Pro,1,1,,Duo,0.3132832080200501
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Duo,0.345
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Duo,0.29
gpt-oss-120b,GPT-OSS-120B,1,1,,Duo,0.08
grok-4-0709,Grok 4,9,9,,Duo,0.1975
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Duo,0.23308270676691728
kimi-k2,Kimi K2,16,16,,Duo,0.2425
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Duo,0.1875
kimi-k2-0905,Kimi K2-0905,16,16,,Duo,0.1925
llama4-maverick,Llama 4 Maverick,3,3,,Duo,0.155
mistral-large-2512,Mistral Large 3,5,5,,Duo,0.3725
mistral-medium-2508,Mistral Medium 3.1,5,5,,Duo,0.2665832290362954
o3-pro-medium,o3-pro (medium reasoning),1,1,,Duo,0.345
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Duo,0.1625
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Duo,0.14
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Small,0.1725
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Small,0.17758985200845667
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Small,0.1825
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Small,0.2225
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Small,0.21
command-a,Cohere Command A,13,13,,Small,0.06132665832290363
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Small,0.0675
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Small,0.0775
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Small,0.13
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Small,0.09625
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Small,0.07
glm-4-5,GLM-4.5,14,14,,Small,0.10375
glm-4-6,GLM-4.6,14,14,,Small,0.1175
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Small,0.32625
gpt-5-pro,GPT-5 Pro,1,1,,Small,0.41102756892230574
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Small,0.235
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Small,0.475
gpt-oss-120b,GPT-OSS-120B,1,1,,Small,0.14125
grok-4-0709,Grok 4,9,9,,Small,0.07
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Small,0.19047619047619047
kimi-k2,Kimi K2,16,16,,Small,0.0975
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Small,0.2125
kimi-k2-0905,Kimi K2-0905,16,16,,Small,0.2325
llama4-maverick,Llama 4 Maverick,3,3,,Small,0.0375
mistral-large-2512,Mistral Large 3,5,5,,Small,0.1675
mistral-medium-2508,Mistral Medium 3.1,5,5,,Small,0.16270337922403003
o3-pro-medium,o3-pro (medium reasoning),1,1,,Small,0.1425
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Small,0.0825
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Small,0.2025
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Ensemble,0.00375
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Ensemble,0.015856236786469344
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Ensemble,0.0
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Ensemble,0.005
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Ensemble,0.005
command-a,Cohere Command A,13,13,,Ensemble,0.0025031289111389237
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Ensemble,0.005
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Ensemble,0.0
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Ensemble,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Ensemble,0.00125
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Ensemble,0.005
glm-4-5,GLM-4.5,14,14,,Ensemble,0.005
glm-4-6,GLM-4.6,14,14,,Ensemble,0.005
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Ensemble,0.0225
gpt-5-pro,GPT-5 Pro,1,1,,Ensemble,0.012531328320802004
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Ensemble,0.005
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Ensemble,0.0025
gpt-oss-120b,GPT-OSS-120B,1,1,,Ensemble,0.01
grok-4-0709,Grok 4,9,9,,Ensemble,0.01
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Ensemble,0.007518796992481203
kimi-k2,Kimi K2,16,16,,Ensemble,0.0075
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Ensemble,0.005
kimi-k2-0905,Kimi K2-0905,16,16,,Ensemble,0.0075
llama4-maverick,Llama 4 Maverick,3,3,,Ensemble,0.005
mistral-large-2512,Mistral Large 3,5,5,,Ensemble,0.0025
mistral-medium-2508,Mistral Medium 3.1,5,5,,Ensemble,0.0037546933667083854
o3-pro-medium,o3-pro (medium reasoning),1,1,,Ensemble,0.0175
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Ensemble,0.0025
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Ensemble,0.0125
