LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,High,0.7025
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,High,0.72
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,High,0.835
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,High,0.4125
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,High,0.1675
glm-4-5,GLM-4.5,14,14,,High,0.84
glm-4-6,GLM-4.6,14,14,,High,0.5775
gpt-5-medium,GPT-5 (medium reasoning),1,1,,High,0.1325
gpt-5-pro,GPT-5 Pro,1,1,,High,0.025
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,High,0.0275
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,High,0.0325
gpt-oss-120b,GPT-OSS-120B,1,1,,High,0.74875
grok-4-0709,Grok 4,9,9,,High,0.935
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,High,0.6675
kimi-k2,Kimi K2,16,16,,High,0.43
kimi-k2-thinking,Kimi K2 Thinking,16,16,,High,0.4775
kimi-k2-0905,Kimi K2-0905,16,16,,High,0.1025
llama4-maverick,Llama 4 Maverick,3,3,,High,0.99625
mistral-large-2512,Mistral Large 3,5,5,,High,0.18
mistral-medium-2508,Mistral Medium 3.1,5,5,,High,0.2975
o3-pro-medium,o3-pro (medium reasoning),1,1,,High,0.235
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,High,0.7275
qwen3-max-preview,Qwen 3 Max Preview,6,6,,High,0.115
