LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Professional,0.02
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Professional,0.015
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Professional,0.025594149908592323
glm-4-5,GLM-4.5,14,14,,Professional,0.0375
gpt-oss-120b,GPT-OSS-120B,1,1,,Professional,0.0225
kimi-k2,Kimi K2,16,16,,Professional,0.0075
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Professional,0.015
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Professional,0.0225
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Professional,0.0275
command-a,Cohere Command A,13,13,,Professional,0.015
mistral-medium-2508,Mistral Medium 3.1,5,5,,Professional,0.0075
llama4-maverick,Llama 4 Maverick,3,3,,Professional,0.035
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Moral,0.3
grok-4-0709,Grok 4,9,9,,Moral,0.1775
o3-pro-medium,o3-pro (medium reasoning),1,1,,Moral,0.2375
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Moral,0.2175
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Moral,0.1925
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Moral,0.1736745886654479
glm-4-5,GLM-4.5,14,14,,Moral,0.1575
gpt-oss-120b,GPT-OSS-120B,1,1,,Moral,0.2125
kimi-k2,Kimi K2,16,16,,Moral,0.205
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Moral,0.1675
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Moral,0.1275
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Moral,0.1425
command-a,Cohere Command A,13,13,,Moral,0.1625
mistral-medium-2508,Mistral Medium 3.1,5,5,,Moral,0.1175
llama4-maverick,Llama 4 Maverick,3,3,,Moral,0.1125
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Existential,0.5675
grok-4-0709,Grok 4,9,9,,Existential,0.67
o3-pro-medium,o3-pro (medium reasoning),1,1,,Existential,0.675
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Existential,0.675
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Existential,0.7025
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Existential,0.7129798903107861
glm-4-5,GLM-4.5,14,14,,Existential,0.72
gpt-oss-120b,GPT-OSS-120B,1,1,,Existential,0.735
kimi-k2,Kimi K2,16,16,,Existential,0.735
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Existential,0.7425
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Existential,0.7425
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Existential,0.755
command-a,Cohere Command A,13,13,,Existential,0.7775
mistral-medium-2508,Mistral Medium 3.1,5,5,,Existential,0.785
llama4-maverick,Llama 4 Maverick,3,3,,Existential,0.8125
